state,county,cbsa,rpp-in-100-dollars,name
1,1001,33860,111.2347052,"Montgomery, AL"
1,1003,19300,107.8748652,"Daphne-Fairhope-Foley, AL"
1,1005,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1007,13820,111.1111111,"Birmingham-Hoover, AL"
1,1009,13820,111.1111111,"Birmingham-Hoover, AL"
1,1011,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1013,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1015,11500,117.6470588,"Anniston-Oxford-Jacksonville, AL"
1,1017,46740,120.6272618,Alabama (Nonmetropolitan Portion)
1,1019,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1021,13820,111.1111111,"Birmingham-Hoover, AL"
1,1023,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1025,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1027,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1029,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1031,21460,120.6272618,Alabama (Nonmetropolitan Portion)
1,1033,22520,119.3317422,"Florence-Muscle Shoals, AL"
1,1035,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1037,45180,120.6272618,Alabama (Nonmetropolitan Portion)
1,1039,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1041,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1043,18980,120.6272618,Alabama (Nonmetropolitan Portion)
1,1045,37120,120.6272618,Alabama (Nonmetropolitan Portion)
1,1047,42820,120.6272618,Alabama (Nonmetropolitan Portion)
1,1049,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1051,33860,111.2347052,"Montgomery, AL"
1,1053,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1055,23460,118.2033097,"Gadsden, AL"
1,1057,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1059,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1061,20020,117.2332943,"Dothan, AL"
1,1063,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1065,46220,113.6363636,"Tuscaloosa, AL"
1,1067,20020,117.2332943,"Dothan, AL"
1,1069,20020,117.2332943,"Dothan, AL"
1,1071,42460,120.6272618,Alabama (Nonmetropolitan Portion)
1,1073,13820,111.1111111,"Birmingham-Hoover, AL"
1,1075,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1077,22520,119.3317422,"Florence-Muscle Shoals, AL"
1,1079,19460,114.9425287,"Decatur, AL"
1,1081,12220,116.1440186,"Auburn-Opelika, AL"
1,1083,26620,109.5290252,"Huntsville, AL"
1,1085,33860,111.2347052,"Montgomery, AL"
1,1087,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1089,26620,109.5290252,"Huntsville, AL"
1,1091,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1093,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1095,10700,120.6272618,Alabama (Nonmetropolitan Portion)
1,1097,33660,113.1221719,"Mobile, AL"
1,1099,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1101,33860,111.2347052,"Montgomery, AL"
1,1103,19460,114.9425287,"Decatur, AL"
1,1105,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1107,46220,113.6363636,"Tuscaloosa, AL"
1,1109,45980,120.6272618,Alabama (Nonmetropolitan Portion)
1,1111,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1113,17980,111.8568233,"Columbus, GA-AL"
1,1115,13820,111.1111111,"Birmingham-Hoover, AL"
1,1117,13820,111.1111111,"Birmingham-Hoover, AL"
1,1119,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1121,45180,120.6272618,Alabama (Nonmetropolitan Portion)
1,1123,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1125,46220,113.6363636,"Tuscaloosa, AL"
1,1127,13820,111.1111111,"Birmingham-Hoover, AL"
1,1129,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1131,,120.6272618,Alabama (Nonmetropolitan Portion)
1,1133,,120.6272618,Alabama (Nonmetropolitan Portion)
2,2013,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2016,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2020,11260,90.57971014,"Anchorage, AK"
2,2050,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2060,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2068,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2070,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2090,21820,93.72071228,"Fairbanks, AK"
2,2100,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2105,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2110,27940,101.4198783,Alaska (Nonmetropolitan Portion)
2,2122,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2130,28540,101.4198783,Alaska (Nonmetropolitan Portion)
2,2150,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2164,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2170,11260,90.57971014,"Anchorage, AK"
2,2180,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2185,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2188,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2195,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2198,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2220,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2230,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2240,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2261,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2270,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2275,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2282,,101.4198783,Alaska (Nonmetropolitan Portion)
2,2290,,101.4198783,Alaska (Nonmetropolitan Portion)
4,4001,,112.2334456,Arizona (Nonmetropolitan Portion)
4,4003,43420,108.577633,"Sierra Vista-Douglas, AZ"
4,4005,22380,101.5228426,"Flagstaff, AZ"
4,4007,37740,112.2334456,Arizona (Nonmetropolitan Portion)
4,4009,40940,112.2334456,Arizona (Nonmetropolitan Portion)
4,4011,,112.2334456,Arizona (Nonmetropolitan Portion)
4,4012,,112.2334456,Arizona (Nonmetropolitan Portion)
4,4013,38060,101.4198783,"Phoenix-Mesa-Scottsdale, AZ"
4,4015,29420,106.3829787,"Lake Havasu City-Kingman, AZ"
4,4017,43320,112.2334456,Arizona (Nonmetropolitan Portion)
4,4019,46060,102.7749229,"Tucson, AZ"
4,4021,38060,101.4198783,"Phoenix-Mesa-Scottsdale, AZ"
4,4023,35700,112.2334456,Arizona (Nonmetropolitan Portion)
4,4025,39140,104.6025105,"Prescott, AZ"
4,4027,49740,107.4113856,"Yuma, AZ"
5,5001,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5003,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5005,34260,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5007,22220,110.864745,"Fayetteville-Springdale-Rogers, AR-MO"
5,5009,25460,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5011,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5013,15780,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5015,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5017,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5019,11660,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5021,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5023,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5025,38220,118.2033097,"Pine Bluff, AR"
5,5027,31620,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5029,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5031,27860,122.3990208,"Jonesboro, AR"
5,5033,22900,116.1440186,"Fort Smith, AR-OK"
5,5035,32820,108.577633,"Memphis, TN-MS-AR"
5,5037,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5039,,118.7648456,Arkansas (Nonmetropolitan Portion)
5,5041,,118.7648456,Arkansas (Nonmetropolitan Portion)
